,Unnamed: 0,d1,d2,type,split,smiles1,smiles2
78470,78470,DB06708,DB01218,75,training,CCCCN(CCCC)CC(O)C1=C2C(=CC(Cl)=C1)\C(=C/C1=CC=C(Cl)C=C1)C1=C2C=CC(Cl)=C1,CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F
177817,24284,DB09166,DB00835,25,testing,CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1
129918,14733,DB00925,DB09477,66,validation,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O
61135,61135,DB01247,DB00925,66,training,CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
129657,14472,DB01086,DB01567,25,validation,CCOC(=O)C1=CC=C(N)C=C1,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
19677,19677,DB00774,DB06826,66,training,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
91302,91302,DB01248,DB09270,9,training,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
84626,84626,DB06772,DB08910,25,training,[H][C@@](O)([C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1)C(=O)O[C@@]1([H])C[C@@]2(O)[C@@]([H])(OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@]4([H])C[C@]([H])(OC)[C@@]3(C)C(=O)[C@]([H])(OC)C(=C1C)C2(C)C)OC(C)=O,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
118354,3169,DB01097,DB00335,34,validation,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
159457,5924,DB09477,DB04743,25,testing,[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O
148014,32829,DB01192,DB00801,25,validation,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
113635,113635,DB00890,DB01217,12,training,CC=C(C(=CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
29954,29954,DB09076,DB01192,25,training,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
96290,96290,DB12332,DB09079,9,training,CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3,COC(=O)C1=CC2=C(C=C1)\C(=C(\NC1=CC=C(C=C1)N(C)C(=O)CN1CCN(C)CC1)C1=CC=CC=C1)C(O)=N2
54532,54532,DB00335,DB01366,36,training,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,CC[C@H](NC(C)C)[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1
7384,7384,DB09167,DB00960,5,training,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
162657,9124,DB01008,DB01097,25,testing,CS(=O)(=O)OCCCCOS(C)(=O)=O,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F
58506,58506,DB01211,DB01238,9,training,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
70492,70492,DB12332,DB08901,5,training,CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1
28288,28288,DB06824,DB01397,8,training,NCCNCCNCCN,[Mg++].OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O-])=O
147132,31947,DB09048,DB06176,9,validation,CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CN=C(C=C1C1=CC=CC=C1C)N1CCN(C)CC1,[H]\C(C)=C1\N=C(O)[C@@]2([H])CSSCCC([H])=C([H])[C@]([H])(CC(O)=N[C@]([H])(C(C)C)C(O)=N2)OC(=O)[C@@]([H])(N=C1O)C(C)C
